nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
ampak-ap6212,6,senic-sandbox,8,1488557426,64,0,7.591,14.308,35.465,5.976
ampak-ap6212,6,senic-sandbox,8,1488557441,1024,0,9.802,19.199,39.151,6.853
ampak-ap6212,6,senic-sandbox,7,1488557507,64,0,8.100,14.153,27.927,4.622
ampak-ap6212,6,senic-sandbox,7,1488557522,1024,0,8.808,15.208,44.278,6.421
ampak-ap6212,6,senic-sandbox,6,1488557586,64,0,7.961,16.510,50.091,9.613
ampak-ap6212,6,senic-sandbox,6,1488557600,1024,0,8.899,14.949,27.949,5.129
ampak-ap6212,6,senic-sandbox,5,1488557680,64,0,8.020,15.890,23.358,4.539
ampak-ap6212,6,senic-sandbox,5,1488557695,1024,0,8.954,20.265,67.845,11.404
ampak-ap6212,6,senic-sandbox,4,1488557763,64,0,8.077,14.587,32.946,6.074
ampak-ap6212,6,senic-sandbox,4,1488557778,1024,0,8.796,15.915,56.575,8.305
ampak-ap6212,6,senic-sandbox,3,1488557851,64,0,8.214,14.047,24.088,4.558
ampak-ap6212,6,senic-sandbox,3,1488557866,1024,0,9.138,15.388,43.324,7.150
ampak-ap6212,6,senic-sandbox,2,1488557931,64,0,8.150,15.754,41.170,7.511
ampak-ap6212,6,senic-sandbox,2,1488557946,1024,0,9.349,15.528,28.851,5.155
ampak-ap6212,6,senic-sandbox,1,1488558007,64,0,8.058,16.597,33.842,5.961
ampak-ap6212,6,senic-sandbox,1,1488558021,1024,0,9.539,15.867,28.879,4.681
ampak-ap6212,6,senic-sandbox,0,1488558093,64,0,7.501,19.998,120.651,20.029
ampak-ap6212,6,senic-sandbox,0,1488558107,1024,0,9.113,16.477,25.060,4.765
